"Year","Region","Title","DetailUrl","PdfUrl","FilePath"
"2011","beijing","2011北京高考理综化学试题及答案","https://www.tthaoke.com/shijuan_3843.html","https://cdn.att.tthaoke.com/testpaper/release/6/69d6c34a25635a1160b1712e87dbd733/2011北京高考理综化学试题及答案.pdf","D:\Desktop\gaokao-chem\2011\beijing\2011北京高考理综化学试题及答案.pdf"
"2011","hainan","2011年海南高考化学试题及答案","https://www.tthaoke.com/shijuan_3840.html","https://cdn.att.tthaoke.com/testpaper/release/e/e4b3d42904bae772ec6518dc186b94ad/2011年海南高考化学试题及答案.pdf","D:\Desktop\gaokao-chem\2011\hainan\2011年海南高考化学试题及答案.pdf"
"2011","jiangsu","2011江苏高考化学试题及答案","https://www.tthaoke.com/shijuan_3841.html","https://cdn.att.tthaoke.com/testpaper/release/f/f4dbe115fe15555853daf5a944b46d2c/2011江苏高考化学试题及答案.pdf","D:\Desktop\gaokao-chem\2011\jiangsu\2011江苏高考化学试题及答案.pdf"
"2011","shandong","2011山东高考理综化学试题及答案","https://www.tthaoke.com/shijuan_3835.html","https://cdn.att.tthaoke.com/testpaper/release/7/76a4aedcdc9adba3e851000f3b1f15f3/2011山东高考理综化学试题及答案.pdf","D:\Desktop\gaokao-chem\2011\shandong\2011山东高考理综化学试题及答案.pdf"
"2011","tianjin","2011年天津高考理综化学试题含答案WORD","https://www.tthaoke.com/shijuan_3836.html","https://cdn.att.tthaoke.com/testpaper/release/d/db61e54e0131ad0de00506b91de6617c/2011年天津高考理综化学试题含答案WORD.pdf","D:\Desktop\gaokao-chem\2011\tianjin\2011年天津高考理综化学试题含答案WORD.pdf"
"2011","zhejiang","2011年高考浙江化学试题及答案","https://www.tthaoke.com/shijuan_3842.html","https://cdn.att.tthaoke.com/testpaper/release/b/b448c15eeb044fb2957418e1fec68624/2011年高考浙江化学试题及答案.pdf","D:\Desktop\gaokao-chem\2011\zhejiang\2011年高考浙江化学试题及答案.pdf"
"2012","beijing","2012北京高考理综化学试题及答案","https://www.tthaoke.com/shijuan_3834.html","https://cdn.att.tthaoke.com/testpaper/release/7/7497e6d7b88dc4165518a93356dad602/2012北京高考理综化学试题及答案.pdf","D:\Desktop\gaokao-chem\2012\beijing\2012北京高考理综化学试题及答案.pdf"
"2012","hainan","2012年海南高考化学试题及答案","https://www.tthaoke.com/shijuan_3830.html","https://cdn.att.tthaoke.com/testpaper/release/b/b1c93a3decc55aa5a04f80a89d7d3e69/2012年海南高考化学试题及答案.pdf","D:\Desktop\gaokao-chem\2012\hainan\2012年海南高考化学试题及答案.pdf"
"2012","jiangsu","2012江苏高考化学试题及答案","https://www.tthaoke.com/shijuan_3833.html","https://cdn.att.tthaoke.com/testpaper/release/0/086f6ff561c5af99ec7f6bd9131cb3e9/2012江苏高考化学试题及答案.pdf","D:\Desktop\gaokao-chem\2012\jiangsu\2012江苏高考化学试题及答案.pdf"
"2012","shandong","2012山东高考理综化学试题及答案","https://www.tthaoke.com/shijuan_3826.html","https://cdn.att.tthaoke.com/testpaper/release/6/6b4407b65b195c6567428acdf3947ca4/2012山东高考理综化学试题及答案.pdf","D:\Desktop\gaokao-chem\2012\shandong\2012山东高考理综化学试题及答案.pdf"
"2012","tianjin","2012年天津高考理综化学试题含答案WORD","https://www.tthaoke.com/shijuan_3828.html","https://cdn.att.tthaoke.com/testpaper/release/6/6c319e69e3a32e4a5d6fe013d788ef07/2012年天津高考理综化学试题含答案WORD.pdf","D:\Desktop\gaokao-chem\2012\tianjin\2012年天津高考理综化学试题含答案WORD.pdf"
"2013","beijing","2013北京高考理综化学试题及答案","https://www.tthaoke.com/shijuan_3825.html","https://cdn.att.tthaoke.com/testpaper/release/9/9cedcb03af78d6c924c6c5d44ec8fac9/2013北京高考理综化学试题及答案.pdf","D:\Desktop\gaokao-chem\2013\beijing\2013北京高考理综化学试题及答案.pdf"
"2013","hainan","2013年海南高考化学试题及答案","https://www.tthaoke.com/shijuan_3823.html","https://cdn.att.tthaoke.com/testpaper/release/8/80c7f9e614f0a840d072c23bcbff65d9/2013年海南高考化学试题及答案.pdf","D:\Desktop\gaokao-chem\2013\hainan\2013年海南高考化学试题及答案.pdf"
"2013","jiangsu","2013江苏高考化学试题及答案","https://www.tthaoke.com/shijuan_3824.html","https://cdn.att.tthaoke.com/testpaper/release/e/ebe4171e1fc64bfff36a371f2dd2b490/2013江苏高考化学试题及答案.pdf","D:\Desktop\gaokao-chem\2013\jiangsu\2013江苏高考化学试题及答案.pdf"
